Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
5/27/2014,1/27/1900,May,2014,23,Youth (<25),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",3,42,54,34,126,160
5/27/2016,1/27/1900,May,2016,23,Youth (<25),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",1,42,54,11,42,53
10/24/2013,1/24/1900,October,2013,33,Young Adults (25-34),M,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",20,42,54,67,840,907
10/24/2015,1/24/1900,October,2015,33,Young Adults (25-34),M,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",21,42,54,71,882,953
12/17/2013,1/17/1900,December,2013,33,Young Adults (25-34),M,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",19,42,54,64,798,862
12/17/2015,1/17/1900,December,2015,33,Young Adults (25-34),M,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",17,42,54,57,714,771
5/26/2014,1/26/1900,May,2014,62,Adults (35-64),M,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",14,42,54,70,588,658
5/26/2016,1/26/1900,May,2016,62,Adults (35-64),M,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",11,42,54,55,462,517
7/16/2013,1/16/1900,July,2013,22,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",23,42,54,3,966,969
7/16/2015,1/16/1900,July,2015,22,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",25,42,54,3,1050,1053
9/4/2013,1/4/1900,September,2013,22,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",18,42,54,2,756,758
9/4/2015,1/4/1900,September,2015,22,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",16,42,54,2,672,674
12/21/2013,1/21/1900,December,2013,22,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",3,42,54,0,126,126
12/21/2015,1/21/1900,December,2015,22,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",2,42,54,0,84,84
9/8/2013,1/8/1900,September,2013,56,Adults (35-64),M,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",23,42,54,77,966,1043
9/8/2015,1/8/1900,September,2015,56,Adults (35-64),M,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",21,42,54,71,882,953
9/28/2013,1/28/1900,September,2013,56,Adults (35-64),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",11,42,54,7,462,469
9/28/2015,1/28/1900,September,2015,56,Adults (35-64),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",12,42,54,8,504,512
1/28/2014,1/28/1900,January,2014,56,Adults (35-64),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",21,42,54,14,882,896
1/28/2016,1/28/1900,January,2016,56,Adults (35-64),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",18,42,54,12,756,768
8/3/2013,1/3/1900,August,2013,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",15,42,54,172,630,802
8/3/2015,1/3/1900,August,2015,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",16,42,54,183,672,855
9/20/2013,1/20/1900,September,2013,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",9,42,54,103,378,481
9/20/2015,1/20/1900,September,2015,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",6,42,54,69,252,321
10/3/2013,1/3/1900,October,2013,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",23,42,54,264,966,1230
10/3/2015,1/3/1900,October,2015,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",22,42,54,252,924,1176
10/8/2013,1/8/1900,October,2013,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",5,42,54,57,210,267
10/8/2015,1/8/1900,October,2015,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",2,42,54,23,84,107
11/4/2013,1/4/1900,November,2013,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",5,42,54,57,210,267
11/4/2015,1/4/1900,November,2015,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",7,42,54,80,294,374
1/26/2014,1/26/1900,January,2014,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",24,42,54,275,1008,1283
1/26/2016,1/26/1900,January,2016,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",26,42,54,298,1092,1390
2/5/2014,1/5/1900,February,2014,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",25,42,54,287,1050,1337
2/5/2016,1/5/1900,February,2016,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",23,42,54,264,966,1230
2/21/2014,1/21/1900,February,2014,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",2,42,54,23,84,107
2/21/2016,1/21/1900,February,2016,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",3,42,54,34,126,160
2/27/2014,1/27/1900,February,2014,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",6,42,54,69,252,321
2/27/2016,1/27/1900,February,2016,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",8,42,54,92,336,428
6/2/2014,1/2/1900,June,2014,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",4,42,54,46,168,214
6/2/2016,1/2/1900,June,2016,48,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",1,42,54,11,42,53
8/28/2013,1/28/1900,August,2013,34,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",29,42,54,332,1218,1550
8/28/2015,1/28/1900,August,2015,34,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",31,42,54,355,1302,1657
1/11/2014,1/11/1900,January,2014,34,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",4,42,54,46,168,214
1/11/2016,1/11/1900,January,2016,34,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",6,42,54,69,252,321
1/12/2014,1/12/1900,January,2014,34,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",16,42,54,183,672,855
1/12/2016,1/12/1900,January,2016,34,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",14,42,54,160,588,748
2/8/2014,1/8/1900,February,2014,34,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",4,42,54,46,168,214
2/8/2016,1/8/1900,February,2016,34,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",3,42,54,34,126,160
2/16/2014,1/16/1900,February,2014,34,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",15,42,54,172,630,802
2/16/2016,1/16/1900,February,2016,34,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",13,42,54,149,546,695
2/17/2014,1/17/1900,February,2014,34,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",8,42,54,92,336,428
2/17/2016,1/17/1900,February,2016,34,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",8,42,54,92,336,428
3/30/2014,1/30/1900,March,2014,34,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",5,42,54,57,210,267
3/30/2016,1/30/1900,March,2016,34,Young Adults (25-34),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",5,42,54,57,210,267
8/9/2013,1/9/1900,August,2013,58,Adults (35-64),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",22,42,54,240,924,1164
8/9/2015,1/9/1900,August,2015,58,Adults (35-64),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",22,42,54,240,924,1164
11/24/2013,1/24/1900,November,2013,58,Adults (35-64),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",29,42,54,317,1218,1535
11/24/2015,1/24/1900,November,2015,58,Adults (35-64),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",29,42,54,317,1218,1535
11/26/2013,1/26/1900,November,2013,58,Adults (35-64),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",18,42,54,197,756,953
11/26/2015,1/26/1900,November,2015,58,Adults (35-64),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",15,42,54,164,630,794
3/28/2014,1/28/1900,March,2014,58,Adults (35-64),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",18,42,54,197,756,953
3/28/2016,1/28/1900,March,2016,58,Adults (35-64),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",15,42,54,164,630,794
11/17/2013,1/17/1900,November,2013,57,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",10,42,54,115,420,535
11/17/2015,1/17/1900,November,2015,57,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",10,42,54,115,420,535
1/10/2014,1/10/1900,January,2014,57,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",12,42,54,138,504,642
1/10/2016,1/10/1900,January,2016,57,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",11,42,54,126,462,588
4/24/2014,1/24/1900,April,2014,57,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",2,42,54,23,84,107
4/24/2016,1/24/1900,April,2016,57,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",2,42,54,23,84,107
7/6/2013,1/6/1900,July,2013,61,Adults (35-64),F,France,Seine (Paris),Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",2,42,54,5,84,89
7/6/2015,1/6/1900,July,2015,61,Adults (35-64),F,France,Seine (Paris),Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",2,42,54,5,84,89
1/9/2014,1/9/1900,January,2014,43,Adults (35-64),F,Germany,Hessen,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",5,42,54,41,210,251
1/9/2016,1/9/1900,January,2016,43,Adults (35-64),F,Germany,Hessen,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",4,42,54,33,168,201
7/16/2014,1/16/1900,July,2014,43,Adults (35-64),F,Germany,Hessen,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",22,42,54,181,924,1105
7/16/2016,1/16/1900,July,2016,43,Adults (35-64),F,Germany,Hessen,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",23,42,54,189,966,1155
12/26/2013,1/26/1900,December,2013,18,Youth (<25),F,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",21,42,54,14,882,896
12/26/2015,1/26/1900,December,2015,18,Youth (<25),F,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",20,42,54,13,840,853
9/1/2013,1/1/1900,September,2013,36,Adults (35-64),M,Germany,Nordrhein-Westfalen,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",10,42,54,50,420,470
9/1/2015,1/1/1900,September,2015,36,Adults (35-64),M,Germany,Nordrhein-Westfalen,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",11,42,54,55,462,517
10/2/2013,1/2/1900,October,2013,45,Adults (35-64),F,Germany,Hamburg,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",4,42,54,33,168,201
10/2/2015,1/2/1900,October,2015,45,Adults (35-64),F,Germany,Hamburg,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",1,42,54,8,42,50
12/25/2013,1/25/1900,December,2013,45,Adults (35-64),M,Germany,Saarland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",27,42,54,62,1134,1196
12/25/2015,1/25/1900,December,2015,45,Adults (35-64),M,Germany,Saarland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",27,42,54,62,1134,1196
6/21/2014,1/21/1900,June,2014,45,Adults (35-64),M,France,Hauts de Seine,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",27,42,54,222,1134,1356
6/21/2016,1/21/1900,June,2016,45,Adults (35-64),M,France,Hauts de Seine,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",26,42,54,214,1092,1306
9/20/2013,1/20/1900,September,2013,45,Adults (35-64),F,Germany,Nordrhein-Westfalen,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",3,42,54,15,126,141
9/20/2015,1/20/1900,September,2015,45,Adults (35-64),F,Germany,Nordrhein-Westfalen,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",4,42,54,20,168,188
9/23/2013,1/23/1900,September,2013,47,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",17,42,54,167,714,881
9/23/2015,1/23/1900,September,2015,47,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",14,42,54,138,588,726
10/15/2013,1/15/1900,October,2013,47,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",29,42,54,285,1218,1503
10/15/2015,1/15/1900,October,2015,47,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",27,42,54,266,1134,1400
10/30/2013,1/30/1900,October,2013,47,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",1,42,54,10,42,52
10/30/2015,1/30/1900,October,2015,47,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",2,42,54,20,84,104
11/23/2013,1/23/1900,November,2013,47,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",19,42,54,187,798,985
11/23/2015,1/23/1900,November,2015,47,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",20,42,54,197,840,1037
3/29/2014,1/29/1900,March,2014,47,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",10,42,54,98,420,518
3/29/2016,1/29/1900,March,2016,47,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",10,42,54,98,420,518
3/30/2014,1/30/1900,March,2014,47,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",28,42,54,276,1176,1452
3/30/2016,1/30/1900,March,2016,47,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",30,42,54,295,1260,1555
5/26/2014,1/26/1900,May,2014,47,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",18,42,54,177,756,933
5/26/2016,1/26/1900,May,2016,47,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",18,42,54,177,756,933
6/21/2014,1/21/1900,June,2014,48,Adults (35-64),M,France,Nord,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",10,42,54,50,420,470
6/21/2016,1/21/1900,June,2016,48,Adults (35-64),M,France,Nord,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",12,42,54,60,504,564
9/28/2013,1/28/1900,September,2013,50,Adults (35-64),M,France,Nord,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",12,42,54,60,504,564
9/28/2015,1/28/1900,September,2015,50,Adults (35-64),M,France,Nord,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",13,42,54,65,546,611
10/22/2013,1/22/1900,October,2013,21,Youth (<25),F,Australia,Tasmania,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",16,42,54,28,672,700
10/22/2015,1/22/1900,October,2015,21,Youth (<25),F,Australia,Tasmania,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",16,42,54,28,672,700
8/16/2013,1/16/1900,August,2013,23,Youth (<25),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",26,42,54,17,1092,1109
8/16/2015,1/16/1900,August,2015,23,Youth (<25),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",26,42,54,17,1092,1109
12/2/2013,1/2/1900,December,2013,23,Youth (<25),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",22,42,54,15,924,939
12/2/2015,1/2/1900,December,2015,23,Youth (<25),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",22,42,54,15,924,939
12/8/2013,1/8/1900,December,2013,23,Youth (<25),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",1,42,54,1,42,43
12/8/2015,1/8/1900,December,2015,23,Youth (<25),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",1,42,54,1,42,43
3/17/2014,1/17/1900,March,2014,23,Youth (<25),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",1,42,54,1,42,43
3/17/2016,1/17/1900,March,2016,23,Youth (<25),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",1,42,54,1,42,43
12/4/2013,1/4/1900,December,2013,17,Youth (<25),F,France,Seine Saint Denis,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",1,42,54,2,42,44
12/4/2015,1/4/1900,December,2015,17,Youth (<25),F,France,Seine Saint Denis,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",1,42,54,2,42,44
12/31/2013,1/31/1900,December,2013,17,Youth (<25),F,France,Seine Saint Denis,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",4,42,54,9,168,177
12/31/2015,1/31/1900,December,2015,17,Youth (<25),F,France,Seine Saint Denis,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",4,42,54,9,168,177
8/7/2013,1/7/1900,August,2013,26,Young Adults (25-34),F,France,Nord,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",21,42,54,105,882,987
8/7/2015,1/7/1900,August,2015,26,Young Adults (25-34),F,France,Nord,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",19,42,54,95,798,893
8/8/2013,1/8/1900,August,2013,26,Young Adults (25-34),F,France,Nord,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",18,42,54,90,756,846
8/8/2015,1/8/1900,August,2015,26,Young Adults (25-34),F,France,Nord,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",18,42,54,90,756,846
8/19/2013,1/19/1900,August,2013,26,Young Adults (25-34),F,France,Nord,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",9,42,54,45,378,423
8/19/2015,1/19/1900,August,2015,26,Young Adults (25-34),F,France,Nord,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",10,42,54,50,420,470
6/17/2014,1/17/1900,June,2014,26,Young Adults (25-34),F,France,Nord,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",25,42,54,125,1050,1175
6/17/2016,1/17/1900,June,2016,26,Young Adults (25-34),F,France,Nord,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",24,42,54,120,1008,1128
10/6/2013,1/6/1900,October,2013,26,Young Adults (25-34),M,France,Hauts de Seine,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",23,42,54,189,966,1155
10/6/2015,1/6/1900,October,2015,26,Young Adults (25-34),M,France,Hauts de Seine,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",21,42,54,173,882,1055
8/8/2013,1/8/1900,August,2013,29,Young Adults (25-34),M,France,Seine (Paris),Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",10,42,54,23,420,443
8/8/2015,1/8/1900,August,2015,29,Young Adults (25-34),M,France,Seine (Paris),Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",10,42,54,23,420,443
9/2/2013,1/2/1900,September,2013,29,Young Adults (25-34),M,France,Seine (Paris),Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",12,42,54,27,504,531
